中行J,3,23,15000
平安J,5,23,28000
农行J,7,1,50000
招商Q,14,2,22000
中信J,16,4,50000
建设J,17,6,30000
平安Q,17,4,38000
兴业J,18,7,18000
浦发J,22,11,11000
建设Q,24,10,45000
中行Q,27,16,30000
